source,medium,new_users,sessions
unknown,unknown,213,255
unknown,unknown,48,57
unknown,unknown,17,20
unknown,unknown,12,14
unknown,unknown,10,12
unknown,unknown,10,12
unknown,unknown,10,12
unknown,unknown,10,12
unknown,unknown,9,10
unknown,unknown,9,10
unknown,unknown,8,9
unknown,unknown,7,8
unknown,unknown,7,8
unknown,unknown,7,8
unknown,unknown,7,8
unknown,unknown,6,7
unknown,unknown,6,7
unknown,unknown,6,7
unknown,unknown,5,6
unknown,unknown,5,6
unknown,unknown,4,4
unknown,unknown,3,3
unknown,unknown,1,1
unknown,unknown,1,1
unknown,unknown,1,1
unknown,unknown,1,1
unknown,unknown,1,1
unknown,unknown,1,1
unknown,unknown,1,1
