date,event_name,count
2024-01-01,video,204.0
2024-01-01,video,11.0
2024-01-01,video,8.0
2024-01-01,video,8.0
2024-01-01,video,8.0
2024-01-01,video,7.0
2024-01-01,video,6.0
2024-01-01,video,6.0
2024-01-01,video,5.0
2024-01-01,video,5.0
2024-01-01,video,5.0
2024-01-01,video,5.0
2024-01-01,video,4.0
2024-01-01,video,4.0
2024-01-01,video,3.0
2024-01-01,video,3.0
2024-01-01,video,3.0
2024-01-01,video,3.0
2024-01-01,video,3.0
2024-01-01,video,3.0
2024-01-01,video,3.0
2024-01-01,video,3.0
2024-01-01,video,3.0
2024-01-01,video,2.0
2024-01-01,video,2.0
2024-01-01,video,2.0
2024-01-01,video,2.0
2024-01-01,video,2.0
2024-01-01,video,2.0
2024-01-01,video,2.0
2024-01-01,video,2.0
2024-01-01,video,2.0
2024-01-01,video,0.0
2024-01-01,video,0.0
2024-01-01,video,2.0
2024-01-01,video,2.0
2024-01-01,video,2.0
2024-01-01,video,2.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,0.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,0.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,0.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,0.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,0.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
2024-01-01,video,1.0
